star_id,var_index,chi2_nu,x_ref,y_ref,ra_ref,dec_ref,chi,sharp,mag_fl05201802220136e91,mag_fl05201702220125e91,mag_fl05201702220126e91,mag_fl05201702220127e91,mag_fl05201702250137e91,mag_fl05201702250138e91,mag_fl05201702250139e91,mag_fl05201710280175e91,mag_fl05201710280176e91,mag_fl05201710280177e91,mag_fl05201711140078e91,mag_fl05201711140079e91,mag_fl05201711140080e91,mag_fl05201711260164e91,mag_fl05201711260165e91,mag_fl05201711260166e91,mag_fl05201802220134e91,mag_fl05201802220135e91,err_fl05201802220136e91,err_fl05201702220125e91,err_fl05201702220126e91,err_fl05201702220127e91,err_fl05201702250137e91,err_fl05201702250138e91,err_fl05201702250139e91,err_fl05201710280175e91,err_fl05201710280176e91,err_fl05201710280177e91,err_fl05201711140078e91,err_fl05201711140079e91,err_fl05201711140080e91,err_fl05201711260164e91,err_fl05201711260165e91,err_fl05201711260166e91,err_fl05201802220134e91,err_fl05201802220135e91,
10,2.33,35.9522343954911,227.052,34.867,168.128374479,39.710020491,1.4946,0.1835,11.1580,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,11.2012,11.2038,11.2023,11.2032,11.2060,11.1983,11.1838,11.1853,11.1823,11.1770,11.1668,0.0051,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0028,0.0026,0.0026,0.0022,0.0022,0.0026,0.0041,0.0040,0.0048,0.0048,0.0068
11,1.52,4.054770086188272,860.406,35.981,168.039352038,39.7094324361,2.8726,4.2009,15.3800,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,15.2482,15.2538,15.2253,15.2012,15.2490,15.2663,15.4198,15.3793,15.4103,15.2250,15.3378,0.0551,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0325,0.0346,0.0358,0.0334,0.0342,0.0350,0.0551,0.0518,0.0555,0.0448,0.0584
12,1.37,4.991400807128536,1648.210,40.098,167.92861753,39.7089014305,1.9621,4.2440,16.0980,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,15.9022,15.8908,15.8843,15.8962,15.9080,15.8983,16.0758,16.0793,16.0503,15.9410,16.0548,0.0804,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0361,0.0370,0.0365,0.0350,0.0350,0.0379,0.0655,0.0598,0.0628,0.0518,0.0715
13,0.94,0.9164680111988307,2362.220,45.385,167.828254068,39.708497497,0.9589,-0.0272,16.0120,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,16.0592,16.0728,16.0323,16.0572,16.0560,16.0693,16.0848,16.0863,16.0693,16.0450,16.0368,0.0375,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0255,0.0227,0.0230,0.0228,0.0215,0.0246,0.0212,0.0183,0.0196,0.0421,0.0215
14,1.53,5.199254631164322,1970.311,46.674,167.883334462,39.7091830531,0.9527,0.1609,16.5870,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,16.7162,16.7598,16.7593,16.7962,16.7670,16.7873,16.8008,16.8043,16.7163,16.5110,16.6128,0.0786,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0364,0.0427,0.0433,0.0403,0.0408,0.0365,0.0339,0.0307,0.0330,0.0620,0.0370
15,0.65,0.7161124834288536,2804.227,61.044,167.766100693,39.7095433601,0.9533,-0.3073,17.4890,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,17.4472,17.3618,17.4033,17.3812,17.4280,17.2333,17.4598,17.4482,17.4583,17.3500,17.4218,0.1234,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0749,0.0688,0.0688,0.0706,0.0649,0.0890,0.0577,0.0546,0.0599,0.1035,0.0614
16,2.18,4.722835702586139,1231.551,79.551,167.987116567,39.7136967151,1.5227,3.5692,16.6000,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,16.4612,16.4698,16.5103,16.3812,16.4250,16.4783,16.6848,16.6033,16.5913,16.7290,16.6368,0.0844,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0504,0.0508,0.0469,0.0426,0.0447,0.0453,0.0642,0.0573,0.0559,0.0734,0.0614
17,2.29,5.805676531864174,1670.013,91.735,167.925465206,39.7144561895,1.5556,2.9391,16.1250,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,15.9352,15.9958,15.9583,15.8932,15.9550,15.9263,16.0868,16.0802,16.0753,16.0470,16.0838,0.0557,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,0.0298,0.0332,0.0309,0.0293,0.0317,0.0298,0.0450,0.0439,0.0419,0.0476,0.0477
18,0.39,0.2629008812839684,48.261,125.685,168.153382573,39.7200281302,2.3121,-0.5904,18.1110,99.9999,99.9999,99.9999,18.4566,18.3783,18.4844,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,99.9999,0.3281,9.9999,9.9999,9.9999,0.3222,0.3269,0.3596,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999
19,2.03,4.416257885997036,2801.522,131.089,167.766344114,39.7171208867,0.9966,0.4099,16.7210,99.9999,99.9999,99.9999,16.5456,16.5033,16.4844,16.6222,16.6438,16.5693,16.5942,16.6640,16.6093,16.6498,16.6982,16.6523,16.6350,16.6408,0.0906,9.9999,9.9999,9.9999,0.0304,0.0304,0.0296,0.0386,0.0345,0.0312,0.0320,0.0338,0.0325,0.0338,0.0316,0.0367,0.0712,0.0348
20,2.53,5.975334382502757,1377.201,143.644,167.966538823,39.7204451145,1.1008,0.0360,12.8360,99.9999,99.9999,99.9999,12.8396,12.8383,12.8394,12.8642,12.8568,12.8453,12.8552,12.8540,12.8583,12.8518,12.8563,12.8523,12.8680,12.8578,0.0063,9.9999,9.9999,9.9999,0.0042,0.0033,0.0031,0.0035,0.0033,0.0036,0.0032,0.0036,0.0034,0.0042,0.0042,0.0046,0.0050,0.0050
