star_id,var_index,chi2_nu,x_ref,y_ref,ra_ref,dec_ref,chi,sharp,mag_fl05201703040163e91,mag_fl05201703040161e91,mag_fl05201703040162e91,mag_fl05201802200091e91,mag_fl05201802200092e91,mag_fl05201802200093e91,err_fl05201703040163e91,err_fl05201703040161e91,err_fl05201703040162e91,err_fl05201802200091e91,err_fl05201802200092e91,err_fl05201802200093e91,
24,0.83,0.9660020093171637,570.033,331.392,183.754351936,45.4492617885,0.9855,-0.1043,15.9250,15.9596,15.9994,15.9876,16.0574,15.9904,0.0397,0.0417,0.0391,0.0340,0.0547,0.0492
25,5.17,23.009592896159134,1250.197,341.241,183.649515739,45.4495536412,1.4888,0.1064,11.2890,11.2856,11.2864,11.3276,11.2894,11.3124,0.0057,0.0041,0.0040,0.0036,0.0031,0.0034
26,1.12,2.0956743619191283,2840.612,350.606,183.404405175,45.4483844971,1.0043,0.0503,14.4150,14.4256,14.4264,14.4296,14.3764,14.4184,0.0126,0.0125,0.0145,0.0125,0.0139,0.0141
27,1.54,2.1514891695487277,252.489,362.705,183.803244379,45.4529752307,0.9465,0.1328,14.1340,14.1346,14.1154,14.1506,14.1194,14.1524,0.0101,0.0100,0.0104,0.0086,0.0118,0.0121
28,0.97,0.8642724714581658,1224.945,580.223,183.652997962,45.4754212549,0.9976,-0.2323,16.1260,16.1526,16.2194,16.1156,16.0984,16.1884,0.0438,0.0466,0.0513,0.0400,0.0529,0.0624
29,1.31,2.8929666251642945,2069.335,639.048,183.522695814,45.48069189,0.9744,0.1210,14.5340,14.5396,14.5264,14.5416,14.4924,14.5754,0.0148,0.0124,0.0141,0.0125,0.0162,0.0156
30,40.28,704.5721728002842,2292.102,660.091,183.488304207,45.4826548741,0.9559,0.0330,13.6470,13.6146,13.6064,14.0276,13.9954,14.0264,0.0087,0.0075,0.0071,0.0086,0.0104,0.0107
31,6.91,26.440800506821738,2226.237,678.431,183.498423541,45.4847309621,1.7099,-0.0616,8.7780,8.7806,8.7804,8.7966,8.7704,8.7944,0.0026,0.0028,0.0034,0.0020,0.0019,0.0019
32,1.20,1.830268057080977,498.592,765.115,183.764711977,45.4962293445,1.0665,0.2282,13.5490,13.5456,13.5484,13.5716,13.5434,13.5514,0.0083,0.0089,0.0075,0.0074,0.0080,0.0089
33,1.14,0.9925976105016174,1565.265,804.094,183.600121023,45.4992035153,1.0187,-0.1061,16.1770,16.1166,16.0954,16.1606,16.0624,16.1854,0.0425,0.0478,0.0452,0.0489,0.0490,0.0655
34,5.70,39.89540311568054,3906.087,814.873,183.239055615,45.4968196224,1.0700,-0.0260,9.5330,9.5336,9.5364,9.5326,9.5114,9.5294,0.0019,0.0016,0.0018,0.0018,0.0014,0.0017
35,3.65,8.117061430272196,4051.751,847.450,183.216507165,45.500082918,1.3661,0.1399,11.0100,11.0106,11.0114,11.0286,11.0044,11.0234,0.0042,0.0039,0.0035,0.0045,0.0027,0.0024
36,1.30,1.5589171762295801,909.882,861.623,183.701118742,45.5062131288,1.0145,0.0422,13.8550,13.8426,13.8504,13.8706,13.8424,13.8454,0.0088,0.0098,0.0095,0.0083,0.0092,0.0102
37,1.42,1.6647803720417376,3769.262,869.945,183.26002181,45.5030120108,0.9124,0.0692,13.5740,13.5756,13.5854,13.5906,13.5664,13.5774,0.0079,0.0075,0.0070,0.0063,0.0069,0.0072
38,1.01,1.1731660146103857,2716.449,919.030,183.422313075,45.5100259579,0.9361,-0.0729,15.1210,15.1286,15.0884,15.1496,15.1224,15.1474,0.0177,0.0204,0.0199,0.0208,0.0227,0.0234
39,0.44,0.18668357341670727,2972.550,987.330,183.382651885,45.5170156455,0.9613,-0.5443,16.4170,16.4176,16.4364,16.3786,16.4354,16.4214,0.0559,0.0578,0.0565,0.0462,0.0691,0.0736
40,1.63,2.568637570613453,2045.751,1032.744,183.525561019,45.523287612,0.9287,-0.1183,14.2680,14.2696,14.2734,14.2896,14.2574,14.3114,0.0110,0.0131,0.0103,0.0092,0.0126,0.0125
41,3.14,10.151860947725451,3689.938,1034.027,183.2718555,45.5208870425,0.9983,0.1510,11.7960,11.7956,11.7944,11.8046,11.7774,11.8014,0.0033,0.0038,0.0031,0.0033,0.0029,0.0028
42,1.24,1.057213580753386,3609.053,1128.720,183.284106012,45.5312620883,1.0006,0.0405,14.1290,14.1326,14.1504,14.1516,14.1264,14.1414,0.0110,0.0114,0.0116,0.0092,0.0115,0.0121
43,0.86,0.6454195014311027,1811.082,1151.777,183.56154783,45.5364732365,1.0226,-0.0542,15.8280,15.8536,15.8964,15.8846,15.8874,15.9084,0.0339,0.0420,0.0374,0.0351,0.0464,0.0505
