#mjd, mag, mag_err
57963.4045687,14.144,0.0142
57992.0767061,14.2067,0.0238
57992.0817138,14.2236,0.0244
57992.086732,14.1934,0.0252
58174.3130751,14.1494,0.0147
58174.3172844,14.1872,0.0154
58174.3214973,14.1974,0.0139
58174.3257128,14.1957,0.0156
58019.7539434,14.0919,0.0176
58019.7589509,14.1311,0.0213
58019.7639466,14.1247,0.0213
58013.4145686,14.1387,0.0226
58013.4195809,14.1579,0.024
58013.4245934,14.1367,0.0254
57963.3945575,14.1275,0.0187
57963.3995655,14.1262,0.0149
57985.1174593,14.1188,0.0153
58173.3232177,14.1076,0.0163
58173.3274609,14.1094,0.0184
