#mjd, mag, mag_err
57968.3361732,14.81,0.0308
57968.3288972,14.8216,0.0549
57968.3325326,14.7949,0.025
57968.3408128,14.8564,0.0165
57968.3444613,14.8069,0.0136
57968.3480907,14.8343,0.0156
57995.4136229,14.8344,0.0122
57995.4173087,14.8412,0.0115
57995.4209597,14.8244,0.0111
58008.3995317,14.8186,0.0171
58008.4031572,14.8547,0.0192
58008.4067861,14.8428,0.022
58009.1898887,14.8454,0.0177
58009.1935352,14.8449,0.0169
58009.1971616,14.8447,0.0134
58038.3124934,14.8293,0.0127
58038.3161336,14.8404,0.0137
58038.3197579,14.8356,0.0125
58038.3240802,14.8451,0.013
58038.3277376,14.8191,0.0138
58038.3313621,14.829,0.0135
58045.3093421,14.8233,0.0137
58045.3129818,14.8275,0.0115
58045.3166214,14.843,0.0128
58052.1832322,14.8331,0.0115
58052.1868541,14.8452,0.0126
58052.190463,14.8462,0.0121
58052.2882639,14.8417,0.0123
58052.2918856,14.8023,0.0126
58052.2955016,14.8603,0.0121
58052.3000486,14.8418,0.0128
58054.3407295,14.8407,0.0142
58054.3443469,14.818,0.0142
58054.3479547,14.8277,0.0152
58080.1531825,14.8317,0.0101
58080.1567877,14.8167,0.013
58080.1603928,14.8165,0.0117
58080.1668381,14.8342,0.0111
58080.1704548,14.8371,0.0125
58080.1740713,14.8187,0.0099
