#mjd, mag, mag_err
58172.4464237,15.424,0.0313
57807.3238319,15.4073,0.0118
57807.3273761,15.3768,0.0109
57807.3309175,15.3522,0.0117
57810.3156923,15.3966,0.0116
57810.3192358,15.3763,0.0123
57810.3227823,15.3794,0.0116
58055.4606569,15.3942,0.0155
58055.4648505,15.3948,0.0155
58055.4690644,15.4023,0.0147
58072.4723189,15.3992,0.0145
58072.4765264,15.404,0.0152
58072.4807281,15.4153,0.0152
58084.3927961,15.3978,0.016
58084.3969917,15.4033,0.0141
58084.4011916,15.4133,0.0162
58172.4372886,15.402,0.0277
58172.4418562,15.3808,0.0171
