#mjd, mag, mag_err
58348.3148488,14.244,0.0228
57985.3372554,14.3014,0.021
57985.3414514,14.3694,0.0266
57985.3456474,14.3535,0.0251
57985.3498435,14.3197,0.0257
58042.209157,14.2859,0.0201
58042.2133649,14.2775,0.0768
58082.0443896,14.3335,0.019
58082.0485732,14.291,0.0197
58082.0527681,14.2719,0.0195
58348.3004516,14.2305,0.0189
58348.30765,14.2376,0.0218
57963.1148909,14.2337,0.0163
57963.1190867,14.2142,0.0176
57963.123306,14.2056,0.0177
57963.1275018,14.2153,0.0167
58019.8699916,14.2452,0.0213
58048.8296848,14.2313,0.0196
58048.8338682,14.2216,0.0195
58048.838064,14.1985,0.0188
58048.8422514,14.2352,0.0199
57959.6982729,14.2034,0.0265
57959.7108855,14.1852,0.0261
58013.7139743,14.2692,0.0178
58013.7181699,14.2853,0.0179
58013.7223648,14.2666,0.0199
58013.7265569,14.3086,0.0196
57991.4058537,14.2476,0.0174
57991.4100498,14.2064,0.0169
57991.4142343,14.2354,0.0205
57991.4184309,14.2031,0.0277
58043.292984,14.223,0.0195
58043.2971745,14.2591,0.0183
58043.3013628,14.2655,0.021
58043.3055527,14.2539,0.0185
58076.0501701,14.2112,0.0174
58076.0543548,14.235,0.0178
58076.058563,14.2006,0.0171
58076.0627533,14.2215,0.0159
