#mjd, mag, mag_err
58022.8604412,14.7,0.0202
57987.159163,14.7949,0.0173
57987.1643789,14.7926,0.0171
57987.1695953,14.7836,0.017
57993.2016713,14.7923,0.0156
57993.2121153,14.7703,0.0187
58016.9379058,14.7626,0.0314
58016.9431236,14.7029,0.0251
58016.9483473,14.7621,0.0285
58022.8500094,14.6865,0.0186
58022.8552253,14.7045,0.0183
58044.4625631,14.7591,0.0158
58044.4677956,14.7571,0.0168
58044.4730138,14.7647,0.0179
58020.1219744,14.6693,0.0126
58020.1272025,14.6995,0.0126
58020.1324187,14.6768,0.0141
57963.0787494,14.7112,0.0219
57963.0839769,14.6818,0.0221
57963.0892046,14.7291,0.0218
