#mjd, mag, mag_err
57730.8972574,16.161,0.1018
57713.1676272,16.3071,0.0166
57713.171603,16.3325,0.015
57713.1755803,16.3386,0.0167
57713.3032093,16.3489,0.017
57713.3071895,16.3256,0.0174
57713.3111604,16.3159,0.0201
57713.2190246,16.3019,0.0196
57713.2269946,16.3232,0.0199
57713.3469384,16.2578,0.0249
57713.3509235,16.3043,0.0258
57713.3549046,16.267,0.025
57711.9453098,16.2692,0.0186
57711.9492938,16.2553,0.0158
57711.9532792,16.2386,0.0162
57730.893275,16.2782,0.0451
57730.9012517,16.2978,0.091
58016.9586742,16.3411,0.0292
58016.9637105,16.3092,0.0328
58016.9687748,16.3277,0.046
57720.5656217,16.2798,0.0129
57720.5696112,16.2823,0.0132
57720.573585,16.2823,0.0163
57713.5849446,16.2761,0.0133
57713.5889411,16.3239,0.0146
57713.5929188,16.3128,0.0123
57957.768731,16.3641,0.0221
57957.7737687,16.3395,0.0196
57701.3217543,16.2983,0.0139
57701.3257306,16.2721,0.014
57701.3297042,16.2822,0.0133
57713.274606,16.262,0.0158
57713.2785809,16.2483,0.013
57713.2825543,16.285,0.0146
57713.289197,16.2765,0.0141
57713.2931937,16.2378,0.0148
57713.29717,16.2775,0.0168
57713.3177853,16.2915,0.0166
57713.3217538,16.2709,0.0178
57713.3257257,16.2557,0.0177
57717.2773225,16.2855,0.0139
57717.2812931,16.2669,0.0136
57696.986578,16.2426,0.022
57696.9905646,16.2296,0.0229
57696.9945445,16.2583,0.0185
58017.0855787,16.2372,0.027
58017.0906145,16.2097,0.0295
58017.0956471,16.2898,0.0301
