#mjd, mag, mag_err
57777.2198265,15.686,0.0312
57777.1516076,15.6814,0.0399
57777.1555812,15.6674,0.0387
57777.1595517,15.6068,0.0411
57777.1635259,15.6324,0.0372
57777.1702499,15.7024,0.0385
57777.1742202,15.6676,0.038
57777.1782062,15.6913,0.0383
57777.1821793,15.6929,0.0362
57777.2078948,15.677,0.0383
57777.2118811,15.3545,0.044
57777.2158486,15.7095,0.0362
57777.226499,15.6549,0.0355
57777.2304683,15.6697,0.0322
57777.2344416,15.7172,0.0375
57777.2384158,15.619,0.0265
58044.340205,15.5552,0.0314
58044.3451664,15.7067,0.0246
58044.3501272,15.7282,0.0369
57756.2462792,15.6624,0.0276
57756.2502505,15.6524,0.0272
57756.2542236,15.6245,0.0289
57756.2581995,15.6642,0.0272
57775.3049,15.6543,0.0591
57775.308876,15.7444,0.0615
57775.3128501,15.7665,0.0583
57775.3168222,15.6213,0.0546
57777.1893261,15.6678,0.0411
57777.1932998,15.6802,0.0302
57777.1972864,15.6176,0.0339
57777.2012599,15.6061,0.03
57836.1196641,15.6363,0.0416
57836.1236478,15.7058,0.0339
57836.1276245,15.6331,0.032
57836.1316142,15.6594,0.0359
57750.3548667,15.606,0.0463
57750.3588597,15.6371,0.0586
57750.3628476,15.5154,0.3557
57750.3668314,15.8698,0.1727
57753.9978491,15.6214,0.0542
57784.9130774,15.6307,0.0336
57784.9170703,15.5534,0.0309
57784.921056,15.6482,0.0394
57777.1330295,15.6435,0.0343
57777.1370119,15.6609,0.0313
57777.1409819,15.6443,0.0308
57777.144956,15.6961,0.0302
57777.2453239,15.6584,0.0268
57777.2492976,15.5737,0.0263
57777.25327,15.6447,0.0288
57777.2572423,15.6538,0.0254
