#mjd, mag, mag_err
57997.1438367,13.745,0.0126
57968.1572705,13.7631,0.0128
57968.1588422,13.7472,0.0137
57968.1604218,13.7657,0.0154
57968.2386195,13.8393,0.0496
57968.2401774,13.7213,0.0297
57968.2417396,13.7356,0.0149
57995.1773704,13.7642,0.0102
57995.1789467,13.7618,0.0099
57995.1805462,13.763,0.0099
57995.1993925,13.7582,0.011
57995.2009573,13.7551,0.0097
57995.2025219,13.7527,0.0107
57997.1454017,13.7641,0.0125
57997.1469548,13.7719,0.0132
57997.2053148,13.7828,0.0116
57997.2068912,13.7553,0.0106
57997.2084907,13.7711,0.0131
