#mjd, mag, mag_err
58087.1665654,14.398,0.0432
57720.2152101,14.453,0.014
57720.2183762,14.4456,0.0152
57720.221525,14.4402,0.0125
57742.1537872,14.435,0.013
57742.1569443,14.438,0.0143
57742.1600946,14.4215,0.0152
57968.3692728,14.4689,0.0174
57968.3733938,14.4781,0.0187
57968.3775318,14.4679,0.0149
57996.3961733,14.4479,0.0123
57996.400288,14.4618,0.012
57996.4044258,14.4742,0.0122
58044.3857958,14.4709,0.0157
58046.1601511,14.4603,0.0148
58046.1643122,14.461,0.0132
58046.1684387,14.4627,0.0125
58046.1734579,14.4644,0.0132
58046.1776539,14.4812,0.0139
58046.1818194,14.4828,0.0111
58054.2016827,14.4288,0.0175
58054.2057829,14.4108,0.0171
58054.4405881,14.445,0.0202
58054.4446946,14.4521,0.0155
58054.4487983,14.4748,0.0159
58087.1624732,14.4307,0.032
58087.1706692,14.4022,0.0362
58146.1275594,14.5341,0.0548
58146.1320221,14.5916,0.0692
58146.1364873,14.3917,0.0614
