#mjd, mag, mag_err
57832.0985985,15.094,0.0311
58143.2931258,15.1927,0.0158
58143.2976644,15.1939,0.0136
58143.3022562,15.1817,0.0146
58143.3067976,15.1798,0.0145
58160.2077302,15.2078,0.0152
58160.2122684,15.2097,0.016
58160.2168032,15.1967,0.0141
57832.1818148,15.1283,0.0273
57832.1858039,15.1598,0.0377
57832.1897809,15.1001,0.0257
57832.2109147,15.0727,0.0227
57832.2148962,15.1727,0.0307
57832.2188826,15.1443,0.0348
57832.2719293,15.1793,0.0268
57832.2759157,15.1909,0.027
57832.2799027,15.173,0.0291
57832.2864064,15.1813,0.0315
57832.2903902,15.1466,0.0289
57832.2943776,15.1504,0.0288
57832.3596197,15.0245,0.0425
57832.3636028,15.1157,0.1549
57832.3675938,15.1606,0.0527
57832.0906194,15.1336,0.033
57832.0946065,15.1217,0.0317
57960.7711171,15.1233,0.02
57960.7765181,15.1142,0.0195
57960.7819195,15.1347,0.0214
57956.4168958,15.1317,0.0228
57956.4222933,15.124,0.0232
57956.4276906,15.1131,0.0226
57842.9643828,15.0893,0.0221
57842.9683718,15.0903,0.0204
57842.9723575,15.0848,0.0247
57832.1963889,15.0998,0.0225
57832.2003723,15.0744,0.0193
57832.2043504,15.0928,0.0252
57832.3414094,15.0964,0.0362
57832.3453877,15.1307,0.0381
57832.3493688,15.0918,0.0271
