#mjd, mag, mag_err
58039.0801559,15.223,0.0272
57963.3300888,15.2099,0.0322
57963.3349453,15.1749,0.0297
57963.3397901,15.1555,0.0294
57963.3446466,15.2138,0.0329
58039.0850012,15.1619,0.0229
58039.0898697,15.1962,0.0244
58039.0947619,15.2347,0.027
58039.1002331,15.1227,0.0236
58039.1050788,15.2237,0.0296
58039.1099123,15.2059,0.032
58039.1147574,15.1962,0.0308
58039.1204975,15.1256,0.0296
58039.1254009,15.1812,0.0337
58039.1302692,15.1405,0.0313
58039.135103,15.2404,0.0335
58046.0941853,15.1654,0.0353
58046.0990652,15.1534,0.0343
58046.1039453,15.1388,0.0375
58046.1087902,15.1558,0.034
58050.0735238,15.1191,0.0295
58050.0783934,15.212,0.0328
58050.0832582,15.2028,0.0287
58050.0881166,15.1893,0.0329
58172.4552689,15.1629,0.0321
58172.4605203,15.2111,0.0365
58172.4657716,15.2134,0.0363
58172.4710229,15.1654,0.0398
