#mjd, mag, mag_err
57833.2412416,14.389,0.0142
58146.2948202,14.457,0.0096
58146.2969994,14.4613,0.01
58146.299179,14.4604,0.0094
57831.3212011,14.4245,0.0183
57831.3223013,14.4148,0.0208
57831.3455365,14.4118,0.0219
57831.3466268,14.4166,0.025
57831.3553921,14.3993,0.031
57831.3564799,14.4772,0.0483
57831.3575659,14.4093,0.0192
57832.2389884,14.3876,0.0179
57832.2400847,14.4314,0.0162
57832.2440476,14.4201,0.0157
57832.2451353,14.4119,0.0181
57832.2462286,14.3834,0.0159
57832.2675256,14.3912,0.0163
57832.2686206,14.4181,0.0138
57833.2423305,14.3922,0.0163
57833.2434198,14.3917,0.0132
57960.3845402,14.4103,0.0124
57960.3865735,14.4345,0.0117
57960.3886031,14.42,0.0116
57832.2553303,14.3883,0.0147
57832.2564251,14.3675,0.0201
57832.2575217,14.3525,0.0198
57839.9681318,14.3351,0.0117
57839.9692296,14.3532,0.0152
57839.9703208,14.3336,0.0134
