#mjd, mag, mag_err
57962.2873704,99.9999,9.9999
57993.2570669,18.2862,0.0139
57993.261704,18.2815,0.0158
57993.2663293,18.2698,0.016
57984.9989341,18.2291,0.016
57985.0035663,18.2085,0.0142
57985.0082143,18.2148,0.0139
58043.8704988,18.2181,0.013
58043.8751234,18.1952,0.0128
58043.8797598,18.2171,0.0137
57959.6929487,18.2388,0.0138
57959.6975884,18.2692,0.015
57959.7022289,18.2446,0.0139
57962.2919932,18.2157,0.0148
57962.2966227,18.2072,0.0133
58022.8725541,18.1947,0.0177
58022.8771906,18.1839,0.017
58022.8818152,18.2007,0.0163
58049.8085751,18.1909,0.0154
58049.8132114,18.1671,0.014
58049.8178361,18.1887,0.0144
