#mjd, mag, mag_err
57998.2603873,14.013,0.0253
57978.3618462,14.0583,0.0236
57978.3655322,14.0646,0.0254
57978.3692182,14.126,0.0249
58080.0590764,14.0428,0.0171
58080.0664372,14.003,0.0144
57963.0732552,14.0123,0.0103
57963.0769413,14.0036,0.0114
57963.0806386,14.0268,0.0099
57985.1005026,14.0229,0.0111
57985.1041886,14.0303,0.0119
57985.1078629,14.0079,0.0115
58019.8617159,14.0218,0.0118
58019.8654017,14.0133,0.0113
58025.8196568,14.014,0.0212
58025.8233428,14.0331,0.0193
58025.827029,14.0279,0.0167
58013.6690335,14.0259,0.014
58013.672731,14.0448,0.0149
58013.6764172,14.0472,0.0166
58082.4379258,14.0095,0.02
58082.441607,14.0595,0.0203
58082.4453078,14.0618,0.0211
57978.3232923,13.996,0.0152
57978.3269667,14.0335,0.0173
57978.3306528,14.0154,0.0256
57998.2640737,13.9908,0.0213
57998.2677599,13.9573,0.0186
58066.782839,14.0062,0.0108
58066.7865251,14.0041,0.0121
58066.7901996,14.0168,0.0123
