#mjd, mag, mag_err
58044.379801,14.329,0.0154
57716.4198948,14.3175,0.0152
57749.3335749,14.3031,0.0202
58044.3341983,14.3525,0.0179
58044.3376874,14.3406,0.0142
58044.3411649,14.3381,0.012
58044.3453611,14.333,0.0142
58044.3488386,14.3276,0.0132
58044.3523392,14.3304,0.0238
58044.3726725,14.3372,0.0124
58044.3762657,14.3241,0.0136
58056.4081618,14.3355,0.0119
58056.4116162,14.3087,0.0108
58056.4150938,14.3199,0.0122
58076.3433346,14.3155,0.011
58076.346789,14.32,0.0117
58076.3502669,14.322,0.0119
58083.287728,14.3256,0.0116
58083.2911823,14.3337,0.0117
58146.3238944,14.3367,0.0455
58146.3276702,14.376,0.052
58146.3314402,14.2394,0.0456
58172.189236,14.3057,0.0171
58172.1967602,14.2955,0.0205
58173.2707824,14.3055,0.0265
58173.2745461,14.3419,0.0311
58173.278302,14.3326,0.0287
