#mjd, mag, mag_err
57720.116103,15.492,0.0344
57985.3944472,15.3972,0.0339
57985.4094809,15.4366,0.0375
57719.0882934,15.4384,0.0333
57719.0922745,15.4631,0.0311
57719.0962522,15.4604,0.0313
57719.1002304,15.4063,0.0327
57719.1259029,15.4453,0.0317
57719.1298733,15.4125,0.0287
57719.1338531,15.4127,0.0289
57719.1378231,15.4038,0.032
57719.255005,15.5212,0.0374
57719.2589918,15.4664,0.0392
57719.2629761,15.4623,0.0359
57719.2669649,15.4636,0.0387
57720.1041749,15.4291,0.0316
57720.1081537,15.4609,0.0279
57720.1121257,15.4864,0.0279
57696.9175046,15.3721,0.0294
57718.9092738,15.4169,0.0295
57718.9132604,15.3967,0.0263
57718.9172387,15.3923,0.0262
58017.6761589,15.4163,0.0215
58017.681171,15.4128,0.0223
58017.686183,15.3829,0.0235
58017.6912059,15.4193,0.0214
57719.2364496,15.3763,0.0233
57719.2404193,15.3475,0.0264
57719.244395,15.3753,0.0237
57719.2483632,15.4028,0.0231
57717.8559236,15.2905,0.025
57717.8598989,15.3062,0.0266
57717.863885,15.3723,0.0272
57717.8678611,15.3632,0.0281
57717.8744928,15.3303,0.0295
57717.878473,15.282,0.0288
57717.88246,15.3866,0.0293
57717.8864381,15.3582,0.0297
57718.815437,15.2923,0.0257
57718.8194272,15.3233,0.0294
57718.8234077,15.3587,0.0285
57718.8273938,15.3238,0.0278
57718.8531664,15.3346,0.0257
57718.8571402,15.3543,0.0295
57718.8611217,15.3059,0.0286
57718.8651033,15.3205,0.0286
57722.8423712,15.3363,0.0288
57722.8463527,15.3483,0.0272
57722.8503453,15.4158,0.0315
57722.8544042,15.3292,0.0279
57962.1438089,15.362,0.0326
57962.1488289,15.3646,0.0348
57962.1538587,15.351,0.0324
57962.1588788,15.272,0.0321
58049.9133941,15.3484,0.0288
58049.9184014,15.3798,0.0242
58049.9234206,15.3336,0.0273
58049.9284278,15.3919,0.0284
