#mjd, mag, mag_err
57786.264167,14.588,0.0155
58084.3024008,14.6476,0.0122
58084.3074712,14.6384,0.0139
58084.3125307,14.6312,0.0139
57786.2562127,14.5883,0.0178
57786.2601897,14.5941,0.0196
58172.3575915,14.5808,0.0236
58172.361846,14.5574,0.0227
58172.3661004,14.5831,0.0225
58172.3703544,14.5821,0.0281
57801.9585941,14.5494,0.0197
57801.9625811,14.5538,0.0199
57801.9665706,14.5521,0.019
57801.9730109,14.5447,0.0203
57801.9770018,14.524,0.019
57801.9809898,14.5533,0.0244
57802.16903,14.5549,0.0156
57802.1730224,14.5594,0.015
57802.1770097,14.5516,0.0166
57802.1832244,14.5675,0.0154
57802.1872103,14.5357,0.0186
57802.1911871,14.5795,0.0184
57832.1304132,14.5669,0.013
57832.1343876,14.5491,0.0149
57832.1383675,14.5923,0.0215
