#mjd, mag, mag_err
57997.1532371,13.919,0.0153
57966.1704439,13.903,0.0152
57966.1730686,13.9074,0.0138
57966.1757038,13.9505,0.0425
57968.1634563,13.9324,0.0201
57968.2441014,13.9107,0.0206
57968.2467394,13.9049,0.0226
57996.141772,13.9148,0.0164
57996.144403,13.8947,0.0144
57996.1470341,13.9354,0.015
57996.1528987,13.8952,0.0132
57996.1555297,13.9235,0.0141
57996.1581841,13.9208,0.0159
57997.1558682,13.9315,0.0141
57997.1585108,13.9414,0.0145
57997.1705886,13.9547,0.0175
57997.1732196,13.9442,0.0154
57997.1758507,13.9181,0.0162
58175.3580909,13.8709,0.0345
58175.3609309,13.8857,0.0246
58175.3637478,13.8978,0.0206
