#mjd, mag, mag_err
58142.3544953,14.212,0.013
57832.0721051,14.2996,0.0173
57832.0760882,14.2919,0.0199
57832.0800723,14.2822,0.0186
57832.1054276,14.3004,0.0165
57832.109422,14.3028,0.0187
57832.1156051,14.266,0.016
57832.119587,14.2759,0.0181
57832.1235833,14.2889,0.016
57832.3342582,14.1906,0.0385
57832.338238,14.089,0.1477
57833.1982181,14.2952,0.0137
57833.2022006,14.2538,0.0157
57833.2061783,14.269,0.0171
58081.4838477,14.226,0.0213
58081.4885307,14.2139,0.0225
58081.4932145,14.2146,0.0206
58172.301888,14.2477,0.0217
58172.3058411,14.2525,0.0213
58172.3098064,14.2378,0.0191
58172.3137711,14.2552,0.0186
57958.7263451,14.225,0.0195
57958.7310394,14.2406,0.0195
57958.7357337,14.2164,0.0195
57958.3717889,14.2138,0.0256
57958.3764824,14.1877,0.0269
57958.3811813,14.227,0.0273
57831.4802072,14.2312,0.0309
57803.2807297,14.2051,0.0168
57803.2847079,14.1943,0.015
57803.2886992,14.2117,0.0155
57832.0867504,14.249,0.0127
57832.0907266,14.2057,0.0135
57832.0947187,14.2239,0.013
58142.35845,14.2295,0.0134
58142.3624078,14.216,0.0167
58142.3663689,14.1918,0.0158
